1,02/02/19,186995,1,1,9,"7 Highland Ave, Rochester, NY 14620"
2,02/05/19,184900,2,3,1,"65 Fort Hill Ter, Rochester, NY 14620"
3,02/07/19,129900,3,8,3,"1029 Harvard St, Rochester, NY 14610"
4,02/11/19,269900,3,17,6,"60 Van Bergh Ave, Rochester, NY 14610"
5,02/13/19,139900,2,4,6,"266 Gregory St, Rochester, NY 14620"
6,02/16/19,533300,1,20,1,"159 Mount Vernon Ave, Rochester, NY 14620"
7,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
8,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
9,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
10,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
11,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
12,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
13,01/11/19,138750,1,5,5,"23 Harwood St, Rochester, NY 14620"
14,01/13/19,106275,6,13,12,"40 Willard Ave, Rochester, NY 14620"
15,01/16/19,59350,8,2,7,"236 Marion St, Rochester, NY 14610"
16,01/18/19,36500,5,17,8,"50 Willard Ave, Rochester, NY 14620"
17,01/22/19,228700,7,11,3,"83 Landing Rd S, Rochester, NY 14610"
18,01/25/19,33025,8,9,4,"739 Meigs St, Rochester, NY 14620"
19,02/02/19,186995,1,1,9,"7 Highland Ave, Rochester, NY 14620"
20,02/05/19,184900,2,3,1,"65 Fort Hill Ter, Rochester, NY 14620"
21,02/07/19,129900,3,8,3,"1029 Harvard St, Rochester, NY 14610"
22,02/11/19,269900,3,17,6,"60 Van Bergh Ave, Rochester, NY 14610"
23,02/13/19,139900,2,4,6,"266 Gregory St, Rochester, NY 14620"
24,02/16/19,533300,1,20,1,"159 Mount Vernon Ave, Rochester, NY 14620"
25,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
26,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
27,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
28,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
29,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
30,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
31,01/11/19,138750,1,5,5,"23 Harwood St, Rochester, NY 14620"
32,01/13/19,106275,6,13,12,"40 Willard Ave, Rochester, NY 14620"
33,01/16/19,59350,8,2,7,"236 Marion St, Rochester, NY 14610"
34,01/18/19,36500,5,17,8,"50 Willard Ave, Rochester, NY 14620"
35,01/22/19,228700,7,11,3,"83 Landing Rd S, Rochester, NY 14610"
36,01/25/19,33025,8,9,4,"739 Meigs St, Rochester, NY 14620"
37,02/05/19,184900,2,3,1,"65 Fort Hill Ter, Rochester, NY 14620"
38,02/07/19,129900,3,8,3,"1029 Harvard St, Rochester, NY 14610"
39,02/11/19,269900,3,17,6,"60 Van Bergh Ave, Rochester, NY 14610"
40,02/13/19,139900,2,4,6,"266 Gregory St, Rochester, NY 14620"
41,02/16/19,533300,1,20,1,"159 Mount Vernon Ave, Rochester, NY 14620"
42,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
43,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
44,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
45,02/13/19,139900,2,4,6,"266 Gregory St, Rochester, NY 14620"
46,02/16/19,533300,1,20,1,"159 Mount Vernon Ave, Rochester, NY 14620"
47,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
48,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
49,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
50,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
51,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
52,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
53,01/11/19,138750,1,5,5,"23 Harwood St, Rochester, NY 14620"
54,01/13/19,106275,6,13,12,"40 Willard Ave, Rochester, NY 14620"
55,01/16/19,59350,8,2,7,"236 Marion St, Rochester, NY 14610"
56,01/18/19,36500,5,17,8,"50 Willard Ave, Rochester, NY 14620"
57,01/22/19,228700,7,11,3,"83 Landing Rd S, Rochester, NY 14610"
58,01/25/19,33025,8,9,4,"739 Meigs St, Rochester, NY 14620"
59,02/02/19,186995,1,1,9,"7 Highland Ave, Rochester, NY 14620"
60,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
61,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
62,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
63,02/13/19,139900,2,4,6,"266 Gregory St, Rochester, NY 14620"
64,02/16/19,533300,1,20,1,"159 Mount Vernon Ave, Rochester, NY 14620"
65,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
66,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
67,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
68,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
69,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
70,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
71,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
72,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
73,01/11/19,138750,1,5,5,"23 Harwood St, Rochester, NY 14620"
74,01/13/19,106275,6,13,12,"40 Willard Ave, Rochester, NY 14620"
75,02/18/19,239995,3,2,2,"1104 Clinton Ave S, Rochester, NY 14620"
76,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
77,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
78,02/22/19,418100,4,1,3,"627 Clinton Ave S, Rochester, NY 14620"
79,02/25/19,187900,2,1,2,"1496 Clover St, Rochester, NY 14610"
80,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
81,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
82,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
83,01/02/19,99975,2,18,4,"268 Sandringham Rd, Rochester, NY 14610"
84,01/05/19,44950,2,14,4,"916 Clinton Ave S, Rochester, NY 14620"
85,01/07/19,83625,3,6,6,"144 Pinnacle Rd, Rochester, NY 14620"
86,01/11/19,138750,1,5,5,"23 Harwood St, Rochester, NY 14620"
87,01/13/19,106275,6,13,12,"40 Willard Ave, Rochester, NY 14620"
